"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_with_minor_severity","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","0","test_get_tnb1_info","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","2","test_step","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","1","test_get_testcase_info","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","5","test_get_issue_info","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","0","test_get_tnb2_info","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","7371","test_login","","Tue Apr 15 13:38:40 CST 2025","passed","Tue Apr 15 13:38:48 CST 2025","TestLogin","test_i_main","",""
"","6606","高血压管理卡 新增","","Tue Apr 15 13:38:48 CST 2025","passed","Tue Apr 15 13:38:54 CST 2025","TestEHR","test_i_main","",""
"","1","test_with_critical_severity","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","1","test_with_trivial_severity","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"","0","这是一个normal级别的问题","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
"This is the tests collection phase. Failures are modules that failed to collect.","0","test_i_main","","Tue Apr 15 09:35:59 CST 2025","broken","Tue Apr 15 09:35:59 CST 2025","","Collection phase","test_collection_phase","test_i_main"
"","13355","查询已签约居民","","Tue Apr 15 13:38:54 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestSigned","test_i_main","",""
"","0","test_with_blocker_severity","","Tue Apr 15 13:39:08 CST 2025","passed","Tue Apr 15 13:39:08 CST 2025","TestFunction","test_i_main","",""
